,Judul,Date
0,"Kontribusi Terhadap Keberlanjutan Lingkungan, UNAIR Raih 4 Trees Rating dari UI Greenmetric","Oktober 25, 2022"
1,FK UNAIR Sambut 31 PPDS Program Hybrid TNI,"Oktober 26, 2022"
2,Dekan FH UNAIR: Pendidikan Hukum Harus Berubah Agar Dapat Mencetak Pemimpin Masa Depan,"Oktober 26, 2022"
3,"Jalani Hidup Sehat, Ini Yang Perlu Disiapkan ","Oktober 26, 2022"
4,"5 Mahasiswa UNAIR Ikuti Student Exchange dan Konferensi di Thailand, Malaysia, dan Singapura","Oktober 25, 2022"
5,Departemen Komunikasi UNAIR Gelar Kuliah Tamu Kesehatan Mental Remaja,"Oktober 25, 2022"
6,Waspadai Resistensi Antibiotik Saat Sakit,"Oktober 25, 2022"
7,"Dosen Toksikologi UNAIR Paparkan Toksisitas Etilen Glikol, Senyawa Kimia yang Diduga Penyebab Gagal Ginjal Akut pada Anak","Oktober 25, 2022"
8,Dosen UNAIR Dorong Percepatan Kastrasi Jantan untuk Tekan Populasi Kucing Liar,"Oktober 21, 2022"
9,Dua Mahasiswa Perikanan UNAIR Ikuti Summer School di Hiroshima University,"September 23, 2022"
10,"Sambut Pertukaran Mahasiswa, Rektor UNAIR: Pulang Harus Jadi Orang Hebat","Agustus 15, 2022"
11,"Mawapres FK UNAIR, Sebulan Borong 4 Gelar Juara","Oktober 25, 2022"
12,Mahasiswa Ilmu Sejarah UNAIR Dinobatkan sebagai Putri Pariwisata Kalimantan Timur 2022,"Oktober 24, 2022"
13,Kajian Sejarah Pers Indonesia Bawa Mahasiswa FIB Sabet Juara 3 LKTIN di UI,"Oktober 18, 2022"
14,Mahasiswa Farmasi UNAIR Cetuskan Ide Pengobatan Kanker Payudara Berbasis Daun Pepaya,"Agustus 31, 2022"
15,Inovasi Dosen FPK UNAIR Manfaatkan Limbah PT. Ajinomoto Sebagai Pakan Ikan,"Agustus 24, 2022"
16,Peneliti FKM UNAIR Kembangkan Formula Fermentasi Bawang untuk Lansia Pasca Vaksinasi,"Desember 31, 2021"
17,Ketua KPK Kunjungi UNAIR,"September 16, 2022"
18,UNAIR Terima Kunjungan Dubes Pakistan,"September 8, 2022"
19,MoU UNAIR-Pemkab Banyuwangi Perkuat Kerjasama Bidang Pendidikan,"September 2, 2022"
20,Efek Penggunaan Chlorhexidine dan Povidone-Iodine Terhadap viral load SARS-CoV-2,"Oktober 26, 2022"
21,Scaffold Nanofiber Berbasis Polylacticacid-Polycaprolactone Untuk Cedera Anterior Cruciate Ligament,"Oktober 26, 2022"
22,Autograf Tulang Rawan dalam Penanganan Kasus Ameloblastoma Pasca Hemi-mandibulektomi,"Oktober 26, 2022"
23,Mengenal Kanker Kepala-Leher yang Disebabkan oleh Virus HPV,"Oktober 26, 2022"
24,Mahasiswa Belanda Sebar Bibit Ikan untuk Cegah Malaria di Banyuwangi,"Oktober 26, 2022"
25,Departemen THT-KL Kukuhkan Ahli Onkologi THT dari Malaysia jadi Adjunct Professor,"Oktober 26, 2022"
26,"Mawapres FK UNAIR, Sebulan Borong 4 Gelar Juara","Oktober 25, 2022"
27,Kajian Sejarah Pers Indonesia Bawa Mahasiswa FIB Sabet Juara 3 LKTIN di UI,"Oktober 18, 2022"
28,"Gelisah Penggunaan Plastik di Kereta Api, Mahasiswa UNAIR Temukan Gerakan Anti Plastik","Oktober 18, 2022"
29,Gowes Bareng Gubernur dan Alumni UNAIR Ramaikan World Heart Day,"September 27, 2022"
30,Khofifah Resmi Mulai Semarak Peringatan HUT EMAS IKA UNAIR,"September 25, 2022"
31,Alumni UNAIR Siap Luncurkan Aplikasi untuk Petani Walet,"September 20, 2022"
32,β-Karoten  Rumput   Laut   Gracilaria Sp. Solusi Antioksidan   Sabun Mandi   Cair yang  Sehat,"Oktober 7, 2022"
33,Biologi dan Ekologi Habitat Alami Lobster di Teluk Gerupuk,"September 27, 2022"
34,Mahasiswa dan Dosen Kedokteran Hewan SIKIA Ungkap Peluang Teripang Laut dan Sisik Ikan Nila sebagai Material Tendon Buatan,"September 28, 2022"
35,Rilis: Psikolog UNAIR: Kenali Penanganan Post Trauma pada Korban Kanjuruhan,"Oktober 14, 2022"
36,Pahami Kondisi Sehat Mental Berikut Ini,"Oktober 3, 2022"
37,Instrumen untuk Memprediksi dan Mendeteksi Efek Samping Obat yang Tidak Dikehendaki pada Pasien Lansia,"Oktober 19, 2022"
38,Apa Saja Peraturan Pajak yang Perlu Dicermati? AEEC Berikan Jawabannya!,"Oktober 17, 2022"
39,"Sukses Bongkar Kasus Pemalsuan Website, Dua Mahasiswa Sekolah Pascasarjana UNAIR Jadi Pembicara di FBI Amerika Serikat","Oktober 11, 2022"
40,Efek Mintak Jelantah pada SA_1,"Oktober 17, 2022"
41,UKM Kependudukan UNAIR Lakukan Gerakan Peduli Lingukungan Tanam Bibit Mangrove di Pesisir,"Oktober 10, 2022"
42,FPK UNAIR Tingkatkan Hasil Produksi Ikan lewat Pengabdian Masyarakat,"September 27, 2022"
43,UNAIR – Universitas Borneo Lestari Bangun Aksi Kolaboratif Bantu UMKM di Kalimantan Selatan Dapatkan Sertifikat Halal Self Declare,"Oktober 20, 2022"
